IncomeBracket,C1Income,C10Income,C11Income,C12Income,C13Income,C14Income,C15Income,C16Income,C17Income,C18Income,C19Income,C2Income,C20Income,C3Income,C4Income,C5Income,C6Income,C7Income,C8Income,C9Income,N1Income,N2Income,N3Income,N4Income,N5Income,N6Income,N7Income,N8Income,S1Income,S2Income,S3Income,S4Income,S5Income,S6Income,S7Income,S8Income,S9Income,Demographics,C1Demo,C10Demo,C11Demo,C12Demo,C13Demo,C14Demo,C15Demo,C16Demo,C17Demo,C18Demo,C19Demo,C2Demo,C20Demo,C3Demo,C4Demo,C5Demo,C6Demo,C7Demo,C8Demo,C9Demo,N1Demo,N2Demo,N3Demo,N4Demo,N5Demo,N6Demo,N7Demo,N8Demo,S1Demo,S2Demo,S3Demo,S4Demo,S5Demo,S6Demo,S7Demo,S8Demo,S9Demo,Rent,C1Rent,C10Rent,C11Rent,C12Rent,C13Rent,C14Rent,C15Rent,C16Rent,C17Rent,C18Rent,C19Rent,C2Rent,C20Rent,C3Rent,C4Rent,C5Rent,C6Rent,C7Rent,C8Rent,C9Rent,N1Rent,N2Rent,N3Rent,N4Rent,N5Rent,N6Rent,N7Rent,N8Rent,S1Rent,S2Rent,S3Rent,S4Rent,S5Rent,S6Rent,S7Rent,S8Rent,S9Rent,Months,C1Comp,C10Comp,C11Comp,C12Comp,C13Comp,C14Comp,C15Comp,C16Comp,C17Comp,C18Comp,C19Comp,C2Comp,C20Comp,C3Comp,C4Comp,C5Comp,C6Comp,C7Comp,C8Comp,C9Comp,N1Comp,N2Comp,N3Comp,N4Comp,N5Comp,N6Comp,N7Comp,N8Comp,S1Comp,S2Comp,S3Comp,S4Comp,S5Comp,S6Comp,S7Comp,S8Comp,S9Comp,Population,C1TotalPopulation,C10TotalPopulation,C11TotalPopulation,C12TotalPopulation,C13TotalPopulation,C14TotalPopulation,C15TotalPopulation,C16TotalPopulation,C17TotalPopulation,C18TotalPopulation,C19TotalPopulation,C2TotalPopulation,C20TotalPopulation,C3TotalPopulation,C4TotalPopulation,C5TotalPopulation,C6TotalPopulation,C7TotalPopulation,C8TotalPopulation,C9TotalPopulation,N1TotalPopulation,N2TotalPopulation,N3TotalPopulation,N4TotalPopulation,N5TotalPopulation,N6TotalPopulation,N7TotalPopulation,N8TotalPopulation,S1TotalPopulation,S2TotalPopulation,S3TotalPopulation,S4TotalPopulation,S5TotalPopulation,S6TotalPopulation,S7TotalPopulation,S8TotalPopulation,S9TotalPopulation,PopDistribution,C1PopulationDist,C10PopulationDist,C11PopulationDist,C12PopulationDist,C13PopulationDist,C14PopulationDist,C15PopulationDist,C16PopulationDist,C17PopulationDist,C18PopulationDist,C19PopulationDist,C2PopulationDist,C20PopulationDist,C3PopulationDist,C4PopulationDist,C5PopulationDist,C6PopulationDist,C7PopulationDist,C8PopulationDist,C9PopulationDist,N1PopulationDist,N2PopulationDist,N3PopulationDist,N4PopulationDist,N5PopulationDist,N6PopulationDist,N7PopulationDist,N8PopulationDist,S1PopulationDist,S2PopulationDist,S3PopulationDist,S4PopulationDist,S5PopulationDist,S6PopulationDist,S7PopulationDist,S8PopulationDist,S9PopulationDist,CouncilDistricts,C1Cdistrict,C10Cdistrict,C11Cdistrict,C12Cdistrict,C13Cdistrict,C14Cdistrict,C15Cdistrict,C16Cdistrict,C17Cdistrict,C18Cdistrict,C19Cdistrict,C2Cdistrict,C20Cdistrict,C3Cdistrict,C4Cdistrict,C5Cdistrict,C6Cdistrict,C7Cdistrict,C8Cdistrict,C9Cdistrict,N1Cdistrict,N2Cdistrict,N3Cdistrict,N4Cdistrict,N5Cdistrict,N6Cdistrict,N7Cdistrict,N8Cdistrict,S1Cdistrict,S2Cdistrict,S3Cdistrict,S4Cdistrict,S5Cdistrict,S6Cdistrict,S7Cdistrict,S8Cdistrict,S9Cdistrict,housingUnits,C1HousingUnit,C10HousingUnit,C11HousingUnit,C12HousingUnit,C13HousingUnit,C14HousingUnit,C15HousingUnit,C16HousingUnit,C17HousingUnit,C18HousingUnit,C19HousingUnit,C2HousingUnit,C20HousingUnit,C3HousingUnit,C4HousingUnit,C5HousingUnit,C6HousingUnit,C7HousingUnit,C8HousingUnit,C9HousingUnit,N1HousingUnit,N2HousingUnit,N3HousingUnit,N4HousingUnit,N5HousingUnit,N6HousingUnit,N7HousingUnit,N8HousingUnit,S1HousingUnit,S2HousingUnit,S3HousingUnit,S4HousingUnit,S5HousingUnit,S6HousingUnit,S7HousingUnit,S8HousingUnit,S9HousingUnit
"Less than $15,000",1336.499891,655.5517845,920.2807233,772.1436178,554.3806735,3638.942483,754.9931917,1256.769384,618.7769603,4742.218083,962.0091777,711.6512113,1197.02164,1237.972199,560.4784905,1202.718719,1010.285863,1297.493945,1057.107104,387.1853,1100.170961,1304.675061,929.9080099,1322.627072,696.3105874,1030.378687,824.8994377,594.8981096,448.5641439,828.4143759,732.2506226,652.0076387,949.7675127,405.5697735,1052.977763,1313.485467,1122.898547,White,24662.14,4646.95,4827.89,7385.45,4414.92,27832.72,13681.05,17171.78,10531.45,28299.08,10780.77,10582.75,10939.11,16031.68,9713.03,9830.47,10232.7,11759.85,11503.12,4851.46,34168.3,45675.55,22927.65,24324.78,13656.31,28000.68,14950.82,15937.58,8066.56,20213.02,19584.92,29854.43,49797.18,17822.16,19110.34,22118.95,20847.58,Owners,6458.78,1298.32,1561.86,1690.56,1236.92,1577.28,2039.9,3372.37,2487.96,2139.74,2620.56,2275.41,1578.77,3597.85,2010.69,1291.02,1516.91,1677.35,2317.62,1650.39,8519.85,14078.45,5731.86,6201.15,4041.97,9315.26,4267.43,4851.51,1597.6,4719.4,4425.57,8976.71,15181.23,5144.27,4495.49,3470.48,4254.68,Jan,44,33,28,19,40,42,28,31,31,42,25,53,29,21,49,32,23,17,45,22,31,26,27,35,16,41,34,22,2,38,34,24,36,27,48,45,36,Population,42449.55,7921.35,9211.36,9760.11,6068.41,39716.13,15234.5,19773.09,12518.44,37480.64,15747.13,16877.58,13021.62,23525.7,14470.8,17588.98,17295.36,18748.04,16507.48,7886.07,45475.31,59416.46,28922.17,33180.19,20862.49,32932.25,19207.04,18018.09,10526.96,26379.32,23343.77,35678.74,57961.08,21409.2,21869.21,31534.42,22852.39,pop0_9,6448.01,1209.55,1609.43,1006.72,575.89,4252.42,1319.52,2785.3,484.99,1067.63,2241.07,3985.89,1003.07,4183.43,2512.62,3371.62,3072.04,3706.39,2848,1277.39,5828.45,7699.05,3021.43,3633.35,2144.64,3846.69,2548.71,2407.71,1774.75,4486.59,2589.14,5103.97,8264.45,2417.88,2712.9,5607.31,1773.89,CouncilDistricts,"1,7,4","3,1,9","3,1","3,1","3,1","3,2,9","3,9","5,3,2,9","5,8,3,1,10,9","1,10,9","3,1,4,9",1,"10,7,4,9","3,1,2","7,4","7,4","7,4","1,4","1,4,9",1,"6,7,10","10,6","10,6,7","10,7,4","1,4,6,7","8,10,6,7","7,4,9","8,10,7,9","3,1,2","5,2","5,2","5,8","5,6,8,10","5,8,2","5,8,3,2","3,2","5,8,3,10,9",TOT_HU,14129.22,2750.29,3094.55,3761.6,2448.66,16664.22,6870.52,8591.21,7702.6,10599.41,6458.41,4411.25,6477,6574.63,4806.59,6258.21,6211.07,6442.84,6164.83,2758.43,18537.17,24683.52,14206.41,15560.82,9055.96,14845.07,8764.62,8171.54,2330.19,8511.79,9098.56,13169.08,22461.7,8785.74,9223.26,9572,12444.32
"$15,000 to $24,999",1626.114351,238.8118051,352.6315284,469.5615355,319.5667676,2809.183253,741.5883225,650.8835738,485.007515,1131.539102,654.6944055,652.2349926,757.3424322,1023.393453,744.6210831,1256.691247,1156.890645,1195.364788,1093.206763,186.6833058,1426.987718,856.0069189,967.7663102,1460.32551,861.9111625,794.4489474,813.0480386,443.0999754,365.3299427,781.233688,656.3344405,741.7098256,851.8558981,355.5271024,911.702883,1150.456326,941.5193387,Black,6857.94,2378.19,2805.16,1125.78,268.37,4488.72,463.3,1087.68,417.12,1839.02,2859.9,4267.84,222.85,4466.17,1327.64,1627.69,1606.87,2591.72,2621.7,2640.23,2701.35,1813.42,1017.42,2359.44,2480.82,769.17,430.83,203.69,1137.84,1653.35,1310.28,1285.62,640.34,1142.01,992.93,2318.08,328.94,Renters,7670.44,1451.98,1532.69,2071.04,1211.74,15086.94,4830.62,5218.83,5214.63,8459.67,3837.86,2135.84,4898.24,2976.78,2795.91,4967.19,4694.16,4765.49,3847.21,1108.05,10017.32,10605.07,8474.55,9359.67,5013.99,5529.82,4497.19,3320.04,732.58,3792.39,4672.99,4192.37,7280.46,3641.47,4727.76,6101.51,8189.63,Feb,48,44,37,27,41,45,43,42,34,27,32,22,30,23,52,38,33,11,26,19,25,25,26,35,24,38,34,20,7,21,35,18,35,22,38,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pop10_19,5708.81,909.91,1003.9,1041.59,647.13,3148.92,1527.46,1775.75,324.48,10875.68,937.03,2671.92,560.78,3708.92,1841.44,2023.06,1901.32,1870.29,1906.87,896.8,5553.14,6960.7,1983.91,2438.43,1789.68,3494.82,1185.9,1355.72,1485.98,3596.1,2567.18,3945.57,7511.8,2095.02,1447.39,5024.24,1406.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$25,000 to $34,999",1516.045229,294.7658208,261.1316711,311.809772,200.317983,2478.685332,641.1839153,877.0785892,544.3971309,732.1419086,494.2761421,701.2496162,764.771415,739.3399442,758.7604523,865.0851488,866.2497044,1015.553523,780.9190429,415.2211383,1761.839317,1592.049192,1212.289162,1518.685182,895.9344519,1109.513355,986.7688546,455.4924103,270.9083362,1182.474591,888.3380465,886.9261191,997.104434,576.6029003,769.4204843,1261.447228,1120.389847,Asian,3090.44,75.74,104.71,178.54,264.72,1805.14,359.83,410.67,1007.34,4993.48,536.67,17.78,625.51,102.6,496.76,626.71,558.55,354.15,377,28.04,5902.21,8841.39,3087.68,3850.04,3274.78,2872.94,1003.93,1017.15,34.74,364.68,562.87,1903.92,4876.65,858.4,421.06,268.63,836.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mar,51,33,36,39,43,40,36,42,82,65,59,26,37,35,29,52,51,31,66,33,35,31,34,41,35,54,44,24,14,46,54,29,50,43,64,51,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pop20_29,7531.85,1769.67,1213.47,2235.8,871.44,16181.1,4632.01,4292.48,3555.73,19091.49,4022.12,2572.94,5437.11,3993.61,2439.93,3746.68,3669.73,4282.23,2827.06,1247.24,7198.93,7510.63,5150.97,7177.31,4343.33,4629.96,3687.1,2512.5,1741.5,4744.91,5268.72,4954.62,5771.91,3712.57,4014.05,5928.45,5691.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$35,000 to $49,999",2778.275163,489.0303598,583.5396933,487.1889609,344.0227618,3326.396285,969.0726582,1407.803489,684.9884971,963.1542301,818.2584569,977.6402667,839.7397459,1065.590837,732.9335325,1133.470256,991.5740796,1079.207764,874.4653868,371.5194234,2925.485423,2848.58885,1887.460509,2124.349113,1482.531622,1474.309718,968.1569782,716.7539688,326.0671157,1233.588449,1498.298549,1307.05326,1896.855315,1047.085306,1549.300853,1951.425563,1698.784348,Other,7839.02,820.48,1473.6,1070.34,1120.4,5589.55,730.31,1102.95,562.52,2349.06,1569.79,2009.22,1234.15,2925.25,2933.37,5504.11,4897.23,4042.32,2005.67,366.34,2703.44,3086.09,1889.42,2645.92,1450.58,1289.47,2821.46,859.66,1287.83,4148.27,1885.69,2634.77,2646.91,1586.63,1344.88,6828.76,839.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apr,58,38,22,36,46,51,42,78,60,49,44,20,60,31,53,83,49,32,72,43,58,49,36,42,24,66,48,33,15,39,54,25,53,56,65,65,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pop30_39,8042.05,1332.98,1721.99,1735.12,1040.12,7587.81,2886.5,3927.39,3333.98,2330.79,3242.53,3109.39,2563.72,4402.9,2716.27,3129.24,3486.67,3688.31,3621.42,1281.12,9056.24,8403.64,5885,6599.18,4174.26,4173.59,4328.99,3797.87,2047.23,4720.35,4574.97,7269.93,9220.75,4279.15,3821.19,5499.96,5542.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$50,000 to $75,999",3013.640425,471.9799693,478.6904064,763.9745088,370.8256074,2155.988613,1264.816606,1676.12283,1226.340588,915.1782677,1303.920955,569.7413682,1015.253692,1077.708573,963.9375166,828.6266166,1059.452942,880.8139693,933.055335,576.2915894,3843.920791,4186.808133,2908.970686,2960.308512,2060.004868,1989.102748,1930.714405,1294.070183,345.3366449,1859.221963,2216.313277,2289.224813,3550.858886,2145.881877,1950.524781,1961.845814,2259.751363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May,91,35,19,57,51,59,42,74,65,61,68,28,88,40,50,46,71,52,55,25,38,36,42,57,41,49,60,56,5,52,67,24,46,49,63,84,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pop40_49,6030.3,760.89,1125.94,1376.8,1114.34,3637.28,1724.2,2697.58,1471.86,1730.58,2026.21,1849.9,1708.85,2922.85,1913.37,2335.35,2269.12,1827.81,1881.79,834.57,7154.21,10457.1,3995.46,4268.04,3154.26,4757.78,2952.29,2513.78,1326.91,3411.58,2781.79,5021.43,9739.62,3376.62,3401.47,4208.1,2858.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$75,000 to $99,999",1774.921588,267.4312242,281.2603799,392.538117,207.3951342,986.8292312,801.567672,955.6275896,751.6894945,540.9768712,659.9414403,358.0896878,576.2823902,862.4586685,392.9834132,511.8830494,554.630816,389.6005336,685.9690052,349.2212408,2432.234271,2627.762074,2030.524565,2125.819374,1381.198929,1551.477347,940.6452156,834.2698551,348.3325189,1280.998336,1399.188438,2110.420465,2666.904017,2085.40298,1373.276934,1050.073872,1947.979222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jun,72,28,19,43,60,304,36,57,37,42,71,75,58,43,65,52,65,39,65,32,61,39,40,46,49,52,47,41,20,92,50,32,55,45,95,73,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pop50_59,3982.7,750.31,1132.16,983.03,594.26,3143.72,1432.99,2089.96,1500.47,1026.58,1439.68,1261.23,899.51,2517.65,1405.68,1611.54,1505.77,1743.12,1666.67,1052.75,5282.88,8340.58,4326.94,4194.16,2592.44,4704.26,1914.68,2034.96,1166.31,2674.62,2730.82,4350.13,8708.47,2465.56,2882.61,3091.35,2666.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$100,000 to $149,999",1268.358686,224.393454,155.610288,337.9515155,228.2603913,855.0285563,965.6324321,977.0233983,1125.640791,563.8943814,805.9652889,382.9031404,648.8339804,463.7710561,402.0625553,348.8321817,426.7556898,406.767679,423.1344102,359.9176578,3049.818017,4042.582503,2473.985817,2369.083228,1080.437889,2437.531545,1343.146864,1313.442038,165.2823387,992.4060257,1336.16775,3153.207879,5360.126071,1534.108683,1053.439097,603.7983993,1650.154482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jul,73,51,31,40,24,138,27,60,43,54,39,91,40,26,51,55,38,30,71,32,49,63,41,35,35,44,48,35,16,38,51,36,24,38,60,94,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pop60_69,2826.18,533.83,804.38,613.13,694.69,1316.83,1243.56,1422.56,1306.01,857.8,967.86,873.04,475.31,979.34,1148.11,856.4,950.3,988.52,1105.81,703.84,3401.06,5908.58,2698.8,3049.96,1522.64,3917.06,1320.98,1975.95,648.21,1733.9,1874.07,3228.87,5141.16,2149.24,2028.51,1174.15,1939.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$150,000 to $199,999",471.6111092,66.31456904,51.25937908,181.1909434,123.8894079,175.9496558,389.3289107,377.2746838,659.3133331,399.1247342,368.6025856,21.82636565,307.0366878,69.75654055,114.8811666,92.63708941,94.85638465,108.5401318,183.3654785,41.48073415,1150.476103,2750.244264,1082.994284,854.3261598,404.7857965,1224.193846,343.0214837,764.6472951,53.37980056,201.1093254,228.0459725,1015.155178,2739.455852,504.3636603,391.2953887,201.6724445,658.7380551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aug,78,45,38,43,31,64,30,37,31,68,49,38,37,22,91,70,39,21,71,37,41,36,27,45,32,43,53,16,14,37,47,34,36,30,62,63,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pop70_79,1096.09,439.81,351.55,474.58,285.38,351,254.24,537.82,439.79,359.28,373.51,393.82,280.21,606.79,318.54,400.24,237.87,374.78,350.28,405.88,1295.17,2554.93,1138.41,912.49,661.55,1783.37,714.94,705.51,250.11,832,580.52,1144.95,2104.26,613.2,835.53,826.72,419.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greater than $200,000",343.748912,42.0133824,10.14421634,45.24322203,100.0015001,237.2179499,342.3313414,412.621562,1606.442068,611.181773,390.7463258,35.91067524,370.7202968,34.64048632,135.936508,18.26568911,50.37885552,69.49362864,133.6049994,70.91143894,846.2405359,4474.807323,712.5134276,825.2912723,192.8473149,3234.116126,614.217222,1754.870123,6.988805439,152.3462594,143.6204988,1013.374775,3448.767461,131.2009755,171.3205564,77.79169723,1044.102511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sep,110,26,33,62,43,77,24,42,49,89,33,40,41,36,37,85,46,40,87,25,46,47,32,36,61,34,40,31,10,42,77,20,32,33,58,89,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pop80,783.57,214.39,248.53,293.33,245.18,97.04,214,244.24,101.13,140.81,497.12,159.44,93.08,210.2,174.83,114.83,202.55,266.58,299.57,186.49,705.23,1581.26,721.24,907.27,479.68,1624.72,553.44,714.09,85.95,179.28,376.55,659.26,1498.66,299.96,725.56,174.14,553.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oct,52,30,98,37,53,96,50,46,45,54,31,34,39,28,28,67,33,66,72,29,28,38,30,35,29,31,24,29,18,34,65,25,35,23,59,63,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
